model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
nonlinear,0.464158883361278,0.000118381705404688,1.40142281745223e-08,0.0193923052397503,19.7374254652508,0.198422242695706,-1.05140133227246,6.09988384797008e-07,0.997300384574371,0.00269961542562863,0.243478727497707,0.0181393932115036,0.0181135763886594,NaN,NaN
nonlinear,0.527499706370262,0.000134536506957206,1.81000717042464e-08,0.0220386503124377,19.7365394010727,0.198413335007025,-1.19484182403923,6.93165369594791e-07,0.997300384574371,0.00269961542562863,0.243456867206309,0.0181305667882796,0.0181048235674747,NaN,NaN
nonlinear,0.599484250318941,0.000152895851959315,2.33771415463648e-08,0.0250461253362659,19.7353952156168,0.198401832400233,-1.35783916635577,7.87662955103115e-07,0.997300384574371,0.00269961542562862,0.243428640197869,0.0181191835955078,0.0180935349059014,NaN,NaN
nonlinear,0.681292069057961,0.000173760580492852,3.0192739333213e-08,0.0284640114284091,19.7339177937479,0.198386979735627,-1.54305394501725,8.94960805987936e-07,0.997300384574371,0.00269961542562863,0.243392194681501,0.0181045091320159,0.0180789816643325,NaN,NaN
nonlinear,0.774263682681127,0.000197472586380219,3.8995422371693e-08,0.032348314787975,19.7320102141666,0.19836780265403,-1.75350605610464,1.01694559283886e-06,0.997300384574371,0.00269961542562862,0.243345141932483,0.0180856021496802,0.0180602297950357,NaN,NaN
nonlinear,0.879922543569107,0.000224420419528335,5.0364524701274e-08,0.0367626844253416,19.7295474520022,0.198343044268357,-1.99262181751527,1.15542396233219e-06,0.997300384574371,0.00269961542562863,0.243284401663005,0.0180612585849724,0.0180360842094088,NaN,NaN
nonlinear,1,0.000255045652788994,6.50482850065643e-08,0.0417794551282051,19.726368288819,0.198311083834113,-2.26428698936513,1.31266066963352e-06,0.997300384574371,0.00269961542562862,0.243206003666327,0.0180299431132468,0.0180050205775428,NaN,NaN
nonlinear,1.13646366638572,0.000289850117664321,8.40130907100208e-08,0.0474808327545979,19.7222649284365,0.198269832356248,-2.5729056100117,1.49115087574345e-06,0.997300384574371,0.00269961542562863,0.243104833692147,0.017989704807158,0.0179651012671239,NaN,NaN
nonlinear,1.29154966501488,0.000329404127423128,1.08507079163392e-07,0.0539602412753377,19.7169696960413,0.198216598874035,-2.923465223802,1.69370026926508e-06,0.997300384574371,0.00269961542562863,0.242974308746633,0.017938076253962,0.0179138746086165,NaN,NaN
nonlinear,1.46779926762207,0.000374355822373879,1.40142281745223e-07,0.0613238536388286,19.7101380390886,0.198147919567493,-3.32160847791073,1.92340283531415e-06,0.997300384574371,0.00269961542562863,0.242805963449955,0.0178719553896098,0.0178482566778492,NaN,NaN
