method,stage,k_est,eta_est,alpha_est,k_error_percent,eta_error_percent,alpha_error_percent,runtime_s,volume_RMSE_m3,volume_NRMSE_percent,hidden_u_RMSE_m,hidden_u_NRMSE_percent,energy_residual_legacy,energy_residual_common_fullgrid
Classical,stage2_k_eta,34020.0816266526,119.899968263257,5338654182570.89,2.12192008833131,0.79502826526585,NaN,73.4060156666667,1.38376e-11,0.2279093,6.873224e-08,0.2275993,0.0425298335820853,NaN
PINN,stage2_k_eta,33996.3700426236,120.786937923616,5338654182570.89,2.05074234937247,1.54066759512766,NaN,219.457895875,1.318828e-11,0.2172148,1.273175e-06,4.215978,0.0424296354368828,0.009929162
Energy_PINN,stage2_k_eta,33774.7459642098,119.756721362384,5338654182570.89,1.38546833052085,0.674606420026524,NaN,1778.467821,1.318828e-11,0.2172148,1.273175e-06,4.215978,0.0465898096762949,0.008206581
