protocol,n_experiments,rank,condition_number,sigma_max,sigma_min,corr_K_R,corr_K_A,corr_R_A
single_baseline,1,3,49.9010073809688,13.2370740638677,0.265266670125702,0.00505621806183577,-0.94368664139994,-0.00389980171957372
multi_amplitude,5,3,17.943412164926,29.4880152627752,1.64338950650732,0.00238848935110037,-0.653910479396888,0.000641257105064528
multi_frequency,6,3,51.3650413347375,29.7379138826376,0.578952398555284,-0.0237844054064135,-0.934963165846491,0.017306702095715
combined,25,3,17.1898693025813,59.4811604875558,3.46024506879897,-0.0231244358071607,-0.657010152860667,0.0107313043339311
