study,stage_id,stage,method,x_value,x_label,noise_percent,points_per_cycle,n_runs,k_error_percent_mean,k_error_percent_std,k_error_percent_median,eta_error_percent_mean,eta_error_percent_std,eta_error_percent_median,alpha_error_percent_mean,alpha_error_percent_std,alpha_error_percent_median,volume_NRMSE_percent_mean,volume_NRMSE_percent_std,volume_NRMSE_percent_median,hidden_u_NRMSE_percent_mean,hidden_u_NRMSE_percent_std,hidden_u_NRMSE_percent_median,energy_residual_common_fullgrid_mean,energy_residual_common_fullgrid_std,energy_residual_common_fullgrid_median,runtime_s_mean,runtime_s_std,runtime_s_median
noise,3,stage3_k_eta_alpha,Energy_PINN,0.1,0.1%,0.1,80,3,1.75273386904827,1.94172375833975,1.01455323971233,1.70366327231271,1.14795600490163,1.73351711382184,18.5809608968682,22.1784422359514,8.18742990708589,0.977258133333333,0.18588423842234,0.9250954,3.03936666666667,0.0374504410165398,3.030493,0.02346069,0.00209692356493984,0.02398355,649.368878708333,5.22268134083726,647.282630541667
noise,3,stage3_k_eta_alpha,PINN,0.1,0.1%,0.1,80,3,0.970757800417071,0.900879008706193,0.761601156913302,2.48878156716484,1.19930930050421,1.86896705082486,14.9898396259164,14.8695275334856,9.73610454854858,0.977258133333333,0.18588423842234,0.9250954,3.03936666666667,0.0374507526804647,3.030494,0.0243311033333333,0.00306530000002175,0.02433109,87.4950628888889,0.430467730942918,87.2684928333333
noise,3,stage3_k_eta_alpha,Energy_PINN,0.5,0.5%,0.5,80,3,1.74236863087385,1.91468707907929,1.02754490306743,1.75602963983445,1.00522435492444,1.58662319728306,18.2117945833313,22.1510005696215,7.49514991740757,0.979160566666667,0.185015319793803,0.9279956,3.04251466666667,0.0424030022207549,3.032996,0.0234687133333333,0.00204757281932373,0.02388719,635.866692277778,5.5888773610133,633.162645041667
noise,3,stage3_k_eta_alpha,PINN,0.5,0.5%,0.5,80,3,0.954922498800821,0.882078152830293,0.734465139416557,2.11650801486062,1.91652635700767,1.47110730416436,14.7045980346964,14.9449926866644,9.17572178218679,0.979160566666667,0.185015319793803,0.9279956,3.042515,0.0424028899840567,3.032997,0.0243370266666667,0.00303254244920551,0.02421868,85.5875546944445,1.51253770476422,84.7446757916667
noise,3,stage3_k_eta_alpha,Energy_PINN,1,1.0%,1,80,3,1.72943738408578,1.88140491060893,1.04365477768273,2.27575790078299,0.761633747262656,2.58235417611258,17.7522794982199,22.1357869748747,6.63196544808171,0.9829189,0.183864630368187,0.9329807,3.04688366666667,0.0486283276530598,3.036533,0.0235109133333333,0.00199550442946973,0.02380419,632.813639291666,1.32028466408348,632.280438833333
noise,3,stage3_k_eta_alpha,PINN,1,1.0%,1,80,3,0.935189731610132,0.859423509490625,0.700376440699281,2.29807143293109,2.14505311438355,1.15176969800678,14.3492450410861,15.0559468015732,8.47348972332913,0.9829189,0.183864630368187,0.9329807,3.046884,0.0486285530424257,3.036535,0.02437714,0.00299701632229456,0.02411575,84.6340863611111,0.563840388773161,84.849632625
noise,3,stage3_k_eta_alpha,Energy_PINN,2,2.0%,2,80,3,1.7040369220269,1.81563106089048,1.07773731534296,3.31946114567347,2.52243233192865,2.84560352107457,16.8442934860004,22.1527583540847,4.91274779826311,0.9948639,0.181150637580909,0.9474211,3.05701833333333,0.0610747068133226,3.044948,0.0236983366666667,0.00191664463305886,0.02376576,630.311602638889,3.8498349358673,632.446420166667
noise,3,stage3_k_eta_alpha,PINN,2,2.0%,2,80,3,0.896038172336728,0.8163061631312,0.633033365011204,3.46647688366118,2.68819557808359,4.11744812665666,13.646120883518,15.3195994330321,7.06361241157383,0.9948639,0.181150637580909,0.9474211,3.057018,0.0610745091916422,3.044949,0.02456243,0.00293636380721122,0.02403809,84.9004383194444,0.66620228943682,84.8970028333333
