parameter,Sobol_First,Sobol_Total,Morris_mu_star,Morris_sigma
k,3.59470843138981e-14,4.69094104133021e-29,1.10097116608661e-16,1.65201495659867e-16
eta,-5.8852456116337,0.877911009412012,0.0244635181919896,0.0338950683734062
alpha,9.38888994324753e-15,4.83696255234438e-29,7.7715611723761e-17,1.29078605354533e-16
A_eff,-3.65234920172711e-14,5.01948944111209e-29,1.10097116608661e-16,1.41429209803485e-16
A_f,4.15874961081919,0.510920422386182,0.0170066165000558,0.026044957812989
c_f,-5.13556013448311,0.173493073766654,0.0105432407182859,0.0161087436118971
pressure_amplitude,2.88629449973753e-14,5.16551095212626e-29,8.4191912700741e-17,1.28573403395033e-16
frequency_hz,-1.95313727968501e-14,4.70919373020698e-29,5.82867087928207e-17,1.03103093105812e-16
