parameter,Sobol_First,Sobol_Total,Morris_mu_star,Morris_sigma
k,0.496175106282718,0.457724832370707,0.209381742444021,0.0998052414215847
eta,-0.000378557790137766,0.00160646517133634,0.0119878842934723,0.0295663514642385
alpha,0.0983333985122434,0.113694472124944,0.0614196504426509,0.0834360228875096
A_eff,0.63722026328061,0.471607057099783,0.201239051007769,0.113566591473794
A_f,6.6865983951322e-06,1.24997110129527e-08,1.82872323427351e-05,5.84671184380863e-05
c_f,3.93989095080928e-07,9.93277147922984e-09,5.7512816908455e-06,8.91547746671929e-06
pressure_amplitude,0.0300081612223977,0.0320432913039007,0.0364610989063396,0.035788703597423
frequency_hz,-0.00995001831330586,0.0032320226152223,0.00932467601743673,0.0235082524856808
