parameter,Sobol_First,Sobol_Total,Morris_mu_star,Morris_sigma
k,0.220979432871635,0.283455156252227,1.81011219259029e-05,3.75452739869831e-05
eta,0.238303156715648,0.502753546827179,1.90103660516142e-05,3.82920357903551e-05
alpha,0.0143544467458183,0.103203977514219,4.8867223806391e-06,9.20866752369444e-06
A_eff,0.0596357195962496,0.0866771440576856,3.46951941923315e-06,5.6514508196758e-06
A_f,-0.000107681874131906,6.65874367132354e-06,2.75888909701803e-08,3.07826783394369e-08
c_f,0.000208677183048965,5.33350047646971e-06,1.49506027177293e-08,1.61803036218707e-08
pressure_amplitude,0.34133587769284,0.607119224575375,1.12646636904833e-05,1.62664163872946e-05
frequency_hz,0.127950426733935,0.274604848967172,1.08794791265236e-05,1.87690356838751e-05
