parameter,Sobol_First,Sobol_Total,Morris_mu_star,Morris_sigma
k,0.139058347347038,0.150897745453917,6.98694546298239,8.99862918674486
eta,0.619146806013017,0.650286434466374,15.4980261767882,14.5012981403221
alpha,0.00988161080741979,0.0163268527896619,1.24830361909706,1.87114329862139
A_eff,0.000791156119774689,0.00108896848770169,0.357943237688386,1.0021417541691
A_f,9.1862631695904e-05,5.23850534737054e-06,0.0305321970252265,0.0245642011529171
c_f,0.000197599087556631,2.86536175450991e-06,0.0188134478326894,0.0206222938554903
pressure_amplitude,-0.00885033004828469,0.00688522257424282,0.728899079236994,1.07786307576004
frequency_hz,0.22701240946973,0.427844424442705,9.51201320350753,8.76932510590227
