parameter,Sobol_First,Sobol_Total,Morris_mu_star,Morris_sigma
k,0.227304899151128,0.308053649177009,0.0484970476380219,0.0385634371591261
eta,-0.0103665930264221,0.0171398863781689,0.0106167342178106,0.0219871631952675
alpha,0.449078880197563,0.537029978605269,0.0648393026371018,0.0461051249078191
A_eff,0.0278360018104034,0.0300642767053032,0.0153038286707641,0.00981019212805207
A_f,1.70445989175174e-05,7.50822249271155e-08,1.30632536758512e-05,2.45381507975911e-05
c_f,3.20192797396644e-07,4.21082987672832e-08,6.36314972265639e-06,1.18647544401949e-05
pressure_amplitude,0.123317442335926,0.165882906581165,0.0374738874311094,0.0216606340137286
frequency_hz,-0.0137047750860367,0.00831857839355017,0.00447885697963749,0.00656311636775067
