case_id,stage_id,stage,method,noise_fraction,noise_percent,points_per_cycle,seed_id,profile,k_est,eta_est,alpha_est,k_error_percent,eta_error_percent,alpha_error_percent,runtime_s,volume_RMSE_m3,volume_NRMSE_percent,hidden_u_RMSE_m,hidden_u_NRMSE_percent,energy_residual_legacy,energy_residual_common_fullgrid,case_runtime_s
stage3_noise00500_points020_seed03,3,stage3_k_eta_alpha,PINN,0.005,0.5,20,3,paper,34029.7012544251,122.560425384023,6365440695346.72,2.15079641112915,3.03156639426098,33.7594116246668,84.7745800833333,9.854348e-11,1.148595,1.30556e-06,3.059461,0.0835069789896479,0.02705952,768.898249166667
stage3_noise00500_points040_seed01,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,40,1,paper,32915.098595472,117.662074909484,9999877481628.2,1.19503223552152,1.08627768598284,4.06157244517636,647.413066458333,7.756369e-11,0.9040607,1.281211e-06,3.002402,0.0704839686575176,0.0207984,775.905033833333
stage3_noise00500_points040_seed01,3,stage3_k_eta_alpha,PINN,0.005,0.5,40,1,paper,33027.4504102287,123.418461105147,9973054985412.2,0.857773107978015,3.75288213784355,3.78244991209833,86.3555638333333,7.756369e-11,0.9040607,1.281211e-06,3.0024,0.0688831603344278,0.02083602,775.905033833333
stage3_noise00500_points040_seed02,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,40,2,paper,33403.9857869445,115.645334547055,8815696681470.65,0.272515645393946,2.78166930934361,8.26135014564296,644.202630708333,6.950956e-11,0.810184,1.290601e-06,3.024405,0.0656114768524165,0.02396826,773.876709333333
stage3_noise00500_points040_seed02,3,stage3_k_eta_alpha,PINN,0.005,0.5,40,2,paper,33361.7729041464,121.394345442928,8688507055444.71,0.145800469013355,2.05129039982387,9.58492161012233,86.5149354166667,6.950956e-11,0.810184,1.290601e-06,3.024406,0.0661681041343974,0.02435013,773.876709333333
stage3_noise00500_points040_seed03,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,40,3,paper,34598.4277597688,119.691378934075,5371941139833.1,3.8580069748255,0.619675697326667,44.0980508890249,643.379978708333,9.99618e-11,1.165127,1.311502e-06,3.073385,0.0823302730605679,0.02541667,772.780429416667
stage3_noise00500_points040_seed03,3,stage3_k_eta_alpha,PINN,0.005,0.5,40,3,paper,33939.2296529759,121.252851983164,6541080958055.98,1.87921759027702,1.93234260123117,31.9316490389963,86.9624845833333,9.99618e-11,1.165127,1.311501e-06,3.073385,0.0855470380762834,0.02752091,772.780429416667
stage3_noise00500_points080_seed01,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,80,1,paper,32970.893989023,117.066892667284,9941793763948.5,1.02754490306743,1.58662319728306,3.45713674020735,642.293323916667,7.961717e-11,0.9279956,1.28261e-06,3.00568,0.0710549089401667,0.02124423,774.743636208333
stage3_noise00500_points080_seed01,3,stage3_k_eta_alpha,PINN,0.005,0.5,80,1,paper,33068.528243,124.036474060856,9927830516642.89,0.734465139416557,4.27242050170899,3.31183121284149,87.333734375,7.961717e-11,0.9279956,1.28261e-06,3.00568,0.0696338252277153,0.02136539,774.743636208333
stage3_noise00500_points080_seed02,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,80,2,paper,33409.1212916744,115.581665168014,8889325286427.45,0.287931469770593,2.83519356754847,7.49514991740757,632.144107875,7.079031e-11,0.8251121,1.294267e-06,3.032996,0.0662234833682027,0.02388719,759.301469875
stage3_noise00500_points080_seed02,3,stage3_k_eta_alpha,PINN,0.005,0.5,80,2,paper,33381.1553391571,120.704193002339,8727829430157.19,0.203982912577116,1.47110730416436,9.17572178218679,84.6842539166667,7.079031e-11,0.8251121,1.294267e-06,3.032997,0.066713855030152,0.02421868,759.301469875
stage3_noise00500_points080_seed03,3,stage3_k_eta_alpha,Energy_PINN,0.005,0.5,80,3,paper,34616.2911465415,117.947571685292,5411816446629.78,3.91162951978352,0.846272154671811,43.6830970923789,633.162645041667,1.016131e-10,1.184374,1.318109e-06,3.088868,0.0841097383747055,0.02527472,760.836594
stage3_noise00500_points080_seed03,3,stage3_k_eta_alpha,PINN,0.005,0.5,80,3,paper,33954.9207888353,119.675106636895,6570429369861.71,1.92631944440879,0.60599623870851,31.6262411090608,84.7446757916667,1.016131e-10,1.184374,1.318109e-06,3.088868,0.0873956528337313,0.02742701,760.836594
stage3_noise01000_points080_seed01,3,stage3_k_eta_alpha,Energy_PINN,0.01,1,80,1,paper,32965.5272739345,117.278649863947,9934513831294.72,1.04365477768273,1.40860753195626,3.38137968811962,632.280438833333,8.004488e-11,0.9329807,1.282006e-06,3.004264,0.0714637834163999,0.021385,760.79022675
stage3_noise01000_points080_seed01,3,stage3_k_eta_alpha,PINN,0.01,1,80,1,paper,33079.8842800967,124.631618337694,9909122364839.4,0.700376440699281,4.77273409707206,3.11714885820356,84.849632625,8.004488e-11,0.9329807,1.282005e-06,3.004263,0.0698362448313332,0.02151938,760.79022675
stage3_noise01000_points080_seed02,3,stage3_k_eta_alpha,Energy_PINN,0.01,1,80,2,paper,33408.8518008228,115.580334751902,8972273667222.39,0.287122508654229,2.83631199428013,6.63196544808171,634.317140708333,7.113949e-11,0.829182,1.295776e-06,3.036533,0.0665350427756956,0.02380419,761.314527208333
stage3_noise01000_points080_seed02,3,stage3_k_eta_alpha,PINN,0.01,1,80,2,paper,33385.6842746801,120.324327353185,8795310964284,0.217577929680176,1.15176969800678,8.47348972332913,83.9942692083333,7.113949e-11,0.829182,1.295777e-06,3.036535,0.0670021055348412,0.02411575,761.314527208333
stage3_noise01000_points080_seed03,3,stage3_k_eta_alpha,Energy_PINN,0.01,1,80,3,paper,34598.2704851751,115.88242836567,5454060508259.6,3.85753486592037,2.58235417611258,43.2434933584585,631.843338333333,1.018036e-10,1.186594,1.322797e-06,3.099854,0.0843374779129652,0.02534355,759.710218
stage3_noise01000_points080_seed03,3,stage3_k_eta_alpha,PINN,0.01,1,80,3,paper,33942.027040567,117.800736524993,6586683448195.26,1.88761482445094,0.969710503714417,31.4570965417255,85.05835725,1.018036e-10,1.186594,1.322797e-06,3.099854,0.0876636632689808,0.02749629,759.710218
stage3_noise02000_points080_seed01,3,stage3_k_eta_alpha,Energy_PINN,0.02,2,80,1,paper,32954.1732892832,117.684336693558,9918508916188.74,1.07773731534296,1.06756310926163,3.21482798427727,625.867339625,8.128379e-11,0.9474211,1.281415e-06,3.00288,0.0726251756151257,0.02174887,753.144940625
stage3_noise02000_points080_seed01,3,stage3_k_eta_alpha,PINN,0.02,2,80,1,paper,33102.3184150005,125.81720389133,9870757619050.31,0.633033365011204,5.76940766688756,2.71791438952057,84.8970028333333,8.128379e-11,0.9474211,1.281415e-06,3.002879,0.0706056918286248,0.02192356,753.144940625
stage3_noise02000_points080_seed02,3,stage3_k_eta_alpha,Energy_PINN,0.02,2,80,2,paper,33407.9661945067,115.569282086042,9137483220167.56,0.284464084185079,2.84560352107457,4.91274779826311,632.446420166667,7.225256e-11,0.8421556,1.299367e-06,3.044948,0.0673651588927156,0.02376576,759.617528541667
stage3_noise02000_points080_seed02,3,stage3_k_eta_alpha,PINN,0.02,2,80,2,paper,33394.3712736189,119.563977934993,8930794217615.65,0.24365467520861,0.512574857439315,7.06361241157383,84.2359604166667,7.225256e-11,0.8421556,1.299367e-06,3.044949,0.0677838027239803,0.02403809,759.617528541667
stage3_noise02000_points080_seed03,3,stage3_k_eta_alpha,Energy_PINN,0.02,2,80,3,paper,34562.4169850605,111.763206151526,5534606899588.45,3.74990936655267,6.0452168066842,42.4053046754608,632.621048125,1.025261e-10,1.195015,1.332771e-06,3.123227,0.0850420332311476,0.02558038,761.230618916667
stage3_noise02000_points080_seed03,3,stage3_k_eta_alpha,PINN,0.02,2,80,3,paper,33916.6462623347,114.056368895088,6615537232206.55,1.81142647679037,4.11744812665666,31.1568358494595,85.5683517083333,1.025261e-10,1.195015,1.33277e-06,3.123226,0.0884244586052483,0.02772564,761.230618916667
